,real_date,DOW,VIX,BTC,ETH,kospi,vkospi,gold,dol,DOW1,VIX1,BTC1,ETH1,kospi1,vkospi1,gold1,dol1,corona
0,2020-08-31,,,11680.820313,435.079742,"2,326.17",27.77,"75,000","1,241.47",,,-0.0026235581169000914,0.015481979036036644,,,,,1
1,2020-08-30,,,11711.505859,428.395721,,,,,,,0.017627931209243733,0.0687791273574118,,,,,1
2,2020-08-29,,,11506.865234,399.921478,,,,,,,-0.003092041280043209,0.01017056673195259,,,,,1
3,2020-08-28,28653.86914,22.959999,11542.5,395.874664,"2,353.80",26.4,"74,000","1,237.81",0.0056556766393561385,gd,0.01916471859008368,0.03402232045671244,0.003980210650184783,-0.030587987071049566,0.0004054876043934021,-0.0010981115202084789,1
4,2020-08-27,28492.26953,24.469999,11323.397461,382.632629,"2,344.45",27.22,"73,970","1,239.17",0.005643724518312379,0.050282859274012104,-0.014463477646680965,-0.009968883000544309,-0.010552161335206289,0.06762925875139858,0.008553442956596343,-0.0010082312849209315,1
5,2020-08-26,28331.91992,23.27,11488.363281,386.466125,"2,369.32",25.44,"73,340","1,240.42",0.002950866042768073,0.05475977110730322,0.01069633470921159,0.006398962940439318,0.0010937385619635164,0.032357526339474994,-0.005845982253030989,0.0009275353632490608,1
6,2020-08-25,28248.43945,22.030001,11366.134766,384.001038,"2,366.73",24.63,"73,770","1,239.27",-0.0021225177518422378,-0.015315613997867017,-0.03530600436492369,-0.060975277825024224,0.015713952042074656,-0.07091280285103911,-0.0035182715587961195,-0.004042589538101107,1
7,2020-08-24,28308.46094,22.370001,11774.595703,408.144196,"2,329.83",26.44,"74,030","1,244.29",,,0.009364458646050776,0.0419301037823306,,,,,1
8,2020-08-23,,,11664.847656,391.384491,,,,,,,-0.0014543864216526562,-0.011307391794246774,,,,,1
9,2020-08-22,,,11681.825195,395.835144,,,,,,,0.007676821237468136,0.0170937414570782,,,,,1
10,2020-08-21,27930.33008,22.540001,11592.489258,389.126343,"2,304.59",26.89,"74,480","1,240.11",0.006847499458650412,-0.007953996861663622,-0.024361862750642404,-0.06783780684185667,0.013265649969463274,-0.04685803618976088,-0.0028155814001636324,-0.000588484266968303,1
11,2020-08-20,27739.73047,22.719999,11878.37207,416.439789,"2,274.22",28.18,"74,690","1,240.84",0.0016903270486756236,0.007953996861663698,0.010161327726081021,0.02424707384475041,-0.03725326995190239,0.1448493824174088,-0.01870205049866482,0.00481477025974535,1
12,2020-08-19,27692.88086,22.540001,11758.283203,406.463776,"2,360.54",24.38,"76,100","1,234.88",-0.0030715001339284287,0.04677360969756279,-0.019617886965512164,-0.04145841331824832,0.005224295029955839,-0.033477617146703054,-0.005242475964849983,-0.002620300730944661,1
13,2020-08-18,27778.07031,21.51,11991.233398,423.669312,"2,348.24",25.21,"76,500","1,238.12",-0.00240331897381769,0.007466203605005218,-0.02170941481188481,-0.01374127139532926,,,,,1
14,2020-08-17,27844.91016,21.35,12254.402344,429.53125,,,,,,,0.029951760425029915,-0.009858258715981163,,,,,1
15,2020-08-16,,,11892.803711,433.786621,,,,,,,0.0022817499869092752,0.0009956898977893508,,,,,1
16,2020-08-15,,,11865.698242,433.354919,,,,,,,0.008193734216079543,-0.009286073619831522,,,,,1
17,2020-08-14,27931.01953,22.049999,11768.871094,437.397827,"2,407.49",22.58,"74,940","1,238.64",0.00122873804936589,-0.0036215523340490394,-0.0012963611804158665,0.019988288296472298,-0.012400520511313769,0.02058238206738183,0.009923643192206464,0.0005006743056791079,1
18,2020-08-13,27896.7207,22.129999,11784.137695,428.741791,"2,437.53",22.12,"74,200","1,238.02",-0.0028678750428182413,-0.006755351066956568,0.017048853955872807,0.0920854780095487,0.002127363283523557,-0.032906481712530515,0.022763880798013662,-0.0008396984038529415,1
19,2020-08-12,27976.83984,22.280001,11584.93457,391.02417,"2,432.35",22.86,"72,530","1,239.06",0.01041727522550636,-0.0756136314206393,0.015169300695933679,0.027587936882391743,0.005640065909343617,-0.005235614053945052,-0.062010511094190625,0.00045205767734101933,1
